898,0.9209,0.7962,0.8719
690,0.8551,0.7681,0.8478
205,0.8195,0.5805,0.7073
699,0.9514,0.9599,0.9642
303,0.7624,0.8350,0.8449
690,0.8580,0.7754,0.8507
768,0.7240,0.7591,0.7682
1000,0.7090,0.7470,0.7440
214,0.6729,0.4859,0.5981
270,0.8000,0.8407,0.8370
155,0.8194,0.8323,0.8710
368,0.8533,0.7880,0.8261
351,0.8917,0.8234,0.8889
150,0.9467,0.9533,0.9600
57,0.7895,0.9474,0.9298
3200,0.7334,0.7316,0.7356
148,0.7703,0.8311,0.8649
768,0.7435,0.7604,0.7695
208,0.7885,0.6971,0.7692
958,0.8372,0.7004,0.9833
846,0.7104,0.4504,0.7494
178,0.9438,0.9663,0.9888
101,0.9307,0.9307,0.9604
